Player,Actual,Scrim yds,TOT TD,Fmbl,Rec,Tgt,Att,Age,Rush yds,Rec yds,Yds/rec,Rec TD,Rec 1D,Catch %,Rushing TD,Rush 1D,Rush long,Rec long,Yards/att,Touch,Yards/touch,Scrim yds,TOT TD,Fmbl,Rec,Tgt,Att,Age,Rush yds,Rec yds,Yds/rec,Rec TD,Rec 1D,Catch %,Rushing TD,Rush 1D,Rush long,Rec long,Yards/att,Touch,Yards/touch
Derrick Henry ,310.1,71.14516129032258,0.6612903225806451,0.11290322580645161,0.9193548387096774,1.1935483870967742,12.96774193548387,23.5,61.82258064516129,9.32258064516129,10.225,0.04838709677419355,0.27419354838709675,77.425,0.6129032258064516,3.1129032258064515,67.5,47.75,4.675,13.887096774193548,5.050000000000001,116.4,1.2,0.3333333333333333,1.2,1.6,20.2,25,102.66666666666667,13.733333333333333,11.4,0.13333333333333333,0.26666666666666666,75.0,1.0666666666666667,4.866666666666666,74.0,75.0,5.1,21.4,5.4
Derrick Henry ,272.6,56.702127659574465,0.48936170212765956,0.0425531914893617,0.8297872340425532,1.0638297872340425,10.659574468085106,23.0,48.787234042553195,7.914893617021277,9.833333333333334,0.02127659574468085,0.2765957446808511,78.23333333333333,0.46808510638297873,2.5531914893617023,65.33333333333333,38.666666666666664,4.533333333333333,11.48936170212766,4.933333333333334,72.375,0.75,0.0625,0.9375,1.125,13.4375,24,66.1875,6.1875,6.6,0.0,0.25,83.3,0.75,3.1875,99.0,21.0,4.9,14.375,5.0
Derrick Henry ,185.8,48.61290322580645,0.3548387096774194,0.03225806451612903,0.7741935483870968,1.032258064516129,9.225806451612904,22.5,39.806451612903224,8.806451612903226,11.45,0.03225806451612903,0.2903225806451613,75.7,0.3225806451612903,2.225806451612903,48.5,47.5,4.35,10.0,4.9,55.0,0.375,0.0625,0.6875,1.0625,11.0,23,46.5,8.5,12.4,0.0625,0.25,64.7,0.3125,2.5,75.0,66.0,4.2,11.6875,4.7
Derrick Henry ,122.0,41.8,0.3333333333333333,0.0,0.8666666666666667,1.0,7.333333333333333,22.0,32.666666666666664,9.133333333333333,10.5,0.0,0.3333333333333333,86.7,0.3333333333333333,1.9333333333333333,22.0,29.0,4.5,8.2,5.1,41.8,0.3333333333333333,0.0,0.8666666666666667,1.0,7.333333333333333,22,32.666666666666664,9.133333333333333,10.5,0.0,0.3333333333333333,86.7,0.3333333333333333,1.9333333333333333,22.0,29.0,4.5,8.2,5.1
Dalvin Cook,283.8,104.06896551724138,0.6551724137931034,0.2413793103448276,3.586206896551724,4.413793103448276,15.758620689655173,23.0,72.55172413793103,31.517241379310345,8.533333333333333,0.06896551724137931,1.5172413793103448,78.16666666666666,0.5862068965517241,3.3793103448275863,59.333333333333336,31.333333333333332,4.633333333333333,19.344827586206897,5.333333333333333,118.14285714285714,0.9285714285714286,0.2857142857142857,3.7857142857142856,4.5,17.857142857142858,24,81.07142857142857,37.07142857142857,9.8,0.0,1.8571428571428572,84.1,0.9285714285714286,4.285714285714286,75.0,31.0,4.5,21.642857142857142,5.5
Dalvin Cook,235.4,90.93333333333334,0.4,0.2,3.4,4.333333333333333,13.8,22.5,64.6,26.333333333333332,7.8999999999999995,0.13333333333333333,1.2,75.19999999999999,0.26666666666666666,2.533333333333333,51.5,31.5,4.699999999999999,17.2,5.25,83.63636363636364,0.36363636363636365,0.18181818181818182,3.6363636363636362,4.454545454545454,12.090909090909092,23,55.90909090909091,27.727272727272727,7.6,0.18181818181818182,1.3636363636363635,81.6,0.18181818181818182,2.0,70.0,27.0,4.6,15.727272727272727,5.3
Dalvin Cook,112.0,111.0,0.5,0.25,2.75,4.0,18.5,22.0,88.5,22.5,8.2,0.0,0.75,68.8,0.5,4.0,33.0,36.0,4.8,21.25,5.2,111.0,0.5,0.25,2.75,4.0,18.5,22,88.5,22.5,8.2,0.0,0.75,68.8,0.5,4.0,33.0,36.0,4.8,21.25,5.2
Alvin Kamara ,292.8,99.46666666666667,0.8222222222222222,0.13333333333333333,5.4,6.711111111111111,10.777777777777779,23.0,53.51111111111111,45.955555555555556,8.533333333333333,0.2222222222222222,2.2888888888888888,80.53333333333333,0.6,3.066666666666667,54.333333333333336,41.0,5.133333333333333,16.177777777777777,6.266666666666667,95.0,0.42857142857142855,0.2857142857142857,5.785714285714286,6.928571428571429,12.214285714285714,24,56.92857142857143,38.07142857142857,6.6,0.07142857142857142,2.0,83.5,0.35714285714285715,2.2857142857142856,40.0,41.0,4.7,18.0,5.3
Alvin Kamara ,161.0,101.48387096774194,1.0,0.06451612903225806,5.225806451612903,6.612903225806452,10.129032258064516,22.5,51.96774193548387,49.516129032258064,9.5,0.2903225806451613,2.4193548387096775,79.05,0.7096774193548387,3.4193548387096775,61.5,41.0,5.35,15.35483870967742,6.75,106.13333333333334,1.2,0.06666666666666667,5.4,7.0,12.933333333333334,23,58.86666666666667,47.266666666666666,8.8,0.26666666666666666,2.466666666666667,77.1,0.9333333333333333,4.266666666666667,49.0,42.0,4.6,18.333333333333332,5.8
Alvin Kamara ,265.2,97.125,0.8125,0.0625,5.0625,6.25,7.5,22.0,45.5,51.625,10.2,0.3125,2.375,81.0,0.5,2.625,74.0,40.0,6.1,12.5625,7.7,97.125,0.8125,0.0625,5.0625,6.25,7.5,22,45.5,51.625,10.2,0.3125,2.375,81.0,0.5,2.625,74.0,40.0,6.1,12.5625,7.7
