Derrick Henry ,252.28776519821375
Dalvin Cook,264.6369620507397
Alvin Kamara ,229.08214946843046
Stefon Diggs,183.97155052785882
David Montgomery,208.74096315114613
Jonathan Taylor,211.59476362256936
Aaron Jones,204.6566601313622
Travis Kelce,164.52296797625667
James Robinson,208.35683770128458
DeAndre Hopkins,171.7237566148409
Justin Jefferson ,194.50065630400297
Tyreek Hill,195.64848447866558
Calvin Ridley,179.40880646992116
Davante Adams,174.68331462924306
Ezekiel Elliott,181.89416780408342
Josh Jacobs,180.815677729752
D.K. Metcalf,169.94918056550918
Allen Robinson,152.9611581421658
Nick Chubb,210.41812074122635
D.J. Moore,178.8489367176308
Darren Waller,134.21681443971903
Brandin Cooks,157.863743381801
Terry McLaurin ,165.89985175269112
Kareem Hunt,157.42773031329585
Melvin Gordon,162.00174717573088
Ronald Jones II,173.22330722583138
Amari Cooper,150.32267687230154
Robby Anderson,141.13899558387268
Clyde Edwards-Helaire ,178.01455185192629
Kenyan Drake,157.82542033749556
Robert Woods,142.14786838932685
A.J. Brown,176.07795955643877
Miles Sanders ,200.34285572372522
Tyler Lockett,134.42829678961618
Curtis Samuel ,149.37308210184324
Antonio Gibson ,163.47335623598784
CeeDee Lamb ,154.07227309628723
Mike Davis ,123.19816144652037
Cooper Kupp,143.4615427034811
Mike Evans,140.44131253709332
David Johnson,165.67196146167555
Keenan Allen ,165.0774045175753
Corey Davis ,144.136737749373
Marvin Jones ,120.87490357415493
Myles Gaskin,188.60493546891638
Chris Carson,163.41814321401364
Cole Beasley,105.63180995815699
Devin Singletary,140.58878288730867
J.D. McKissic,114.30742412762662
Adam Thielen,120.93508497667212
Diontae Johnson ,137.3306142257189
James Conner,148.31905357184846
Tee Higgins ,144.64593312140886
Austin Ekeler,184.38518928879276
J.K. Dobbins ,152.54484775829775
Nelson Agholor,113.18972594466771
Tyler Boyd,133.23300450488506
Chase Claypool ,136.6122764377843
Will Fuller,154.02376596232767
D'Andre Swift ,163.04173618789596
Nyheim Hines,118.45279183899797
Jerry Jeudy ,132.69939560159784
Gus Edwards ,118.90862534533164
Chase Edmonds,115.75134989256873
Jarvis Landry ,125.75976310697509
Michael Gallup,120.35271209173075
Todd Gurley,134.75360097945415
Chris Godwin,146.51953429218946
Latavius Murray,114.4115418899022
JuJu Smith-Schuster,126.15364637559492
Brandon Aiyuk ,168.96743857158967
Wayne Gallman,109.65077740571907
Russell Gage,101.14720793296257
DeVante Parker,113.71064019858537
Darrell Henderson,114.8624032913452
Giovani Bernard,106.43473385398153
Julio Jones ,171.89798013000166
Marquise Brown ,113.8499695872533
T.Y. Hilton,112.65311988313854
Mike Williams ,110.22385358344579
Darius Slayton,112.00754162439527
Cam Akers ,145.21576266053728
Damien Harris ,146.86183647978834
Frank Gore,93.26939342890017
Tim Patrick,98.09493187923785
Jamaal Williams,115.52698931874355
Jakobi Meyers,109.77934448754388
Emmanuel Sanders ,103.45211175788724
Jeff Wilson,121.74629793559092
T.J. Hockenson ,104.63530602920642
Jamison Crowder,125.3940731034694
DJ Chark,124.37697643166558
Adrian Peterson,96.03307110068404
Sterling Shepard,129.08017073903872
Mike Gesicki,98.25115059255448
Marquez Valdes-Scantling,100.28329189064763
Mark Andrews,108.8135554361324
Laviska Shenault Jr.,122.26030119652762
Evan Engram ,105.1995006057646
Raheem Mostert,152.93679673952954
Logan Thomas,70.49871560804729
Noah Fant,102.66234822907205
Kendrick Bourne,92.38215376424354
Brian Hill,97.55068814634659
Hunter Renfrow,97.0283908236255
George Kittle,160.29721687620395
Darnell Mooney,107.0645154437625
Keelan Cole,86.753035187693
Zach Pascal,86.14003090095667
Tony Pollard,104.0720894533234
Christian Kirk,118.84980845738392
Rob Gronkowski ,92.21602540515241
Josh Reynolds,83.31485024309623
Damiere Byrd ,78.07282130656964
Dalton Schultz,77.50306334406365
Hunter Henry ,42.368978571488064
Danny Amendola,72.78323758764536
Leonard Fournette ,128.30117712642289
Gabriel Davis,98.18146225713666
Rashard Higgins,86.9374018598168
Mecole Hardman,99.77872731101989
Boston Scott,89.16154519231364
Robert Tonyan ,71.82164020582891
Malcolm Brown ,55.69297116021556
Zack Moss ,105.21215269279263
Jerick McKinnon ,94.99432678358042
Hayden Hurst,72.74955322622021
Joe Mixon,185.33532373571666
Sony Michel,128.85417989791503
Alexander Mattison,105.05787206915784
Eric Ebron,82.03639801814899
Taysom Hill,68.841044345796
Travis Fulgham,90.80026831833194
Phillip Lindsay,119.19204135331104
Michael Pittman Jr.,107.4277547854548
Dallas Goedert,98.47766717578969
A.J. Green,89.60911119405414
Tyler Higbee,71.70638069188081
Scott Miller ,85.38115063162242
Jalen Guyton,82.94227626505858
Breshad Perriman,89.09779912234475
Devontae Booker,73.40361692416957
Jared Cook,63.08744889385876
Joshua Kelley,95.25570640158796
Henry Ruggs III,105.7854073327403
Anthony Miller,77.08730905291192
James White ,86.00874319656594
Duke Johnson,106.34852729139976
Cam Sims,72.23521321702609
Antonio Brown ,132.02553605186054
David Moore,77.76546709191135
Chris Conley,68.85274422764434
Kalen Ballage,96.1966569004774
Allen Lazard,106.14318340414475
Le'Veon Bell,116.3750695275153
Rex Burkhead ,84.2098815572476
Demarcus Robinson,61.59495449289582
John Brown,102.40229123872689
Jimmy Graham,61.24327683393517
Jonnu Smith,77.89824586840741
Tre'Quan Smith,76.40055401321612
Carlos Hyde,95.71878840341286
Justin Jackson ,109.74776668185902
Randall Cobb,98.92515145078511
Michael Thomas,141.42334185635787
Dan Arnold,67.46929928029525
Austin Hooper,79.81431416266341
