Player,Actual,Career Att,Career Rush Yards,Career Rush Avg,Career Rush TD,Career Rec,Career Rec Yards,Career Rec Avg,Career Rec TD,Career Touches,Career Scrimmage Yards,Career yards/touch,Career TOT TDs,Last Season Att,Last Season Rush Yards,Last Season Rush Avg,Last Season Rush TD,Last Season Rec,Last Season Rec Yards,Last Season Rec Avg,Last Season Rec TD,Last Season Touches,Last Season Scrimmage Yards,Last Season Yards/Touch,Last Season TOT TDs
Terry McLaurin ,191.9,0,0,0,0,1.704545455,28.43181818,16.68,0.431818182,1.704545455,28.43181818,16.68,0.431818182,0,0,0,0,2.916666667,58.41666667,20.02857143,0.916666667,2.916666667,58.41666667,20.02857143,0.916666667
Kareem Hunt,297.2,17.77272727,112.3863636,6.323529412,1,1.659090909,12.61363636,7.602739726,0.022727273,19.43181818,125,6.432748538,1.022727273,20.15384615,113.4615385,5.629770992,0.769230769,3.281468531,31,9.446989877,0.076923077,23.30769231,144.4615385,6.198019802,0.846153846
Melvin Gordon,116.3,14.02222222,109.2222222,7.789223455,1,0.488888889,5.066666667,10.36363636,0.088888889,14.51111111,114.2888889,7.875957121,1.088888889,24.5,184.7857143,7.542274052,2.071428571,1.392063492,10.92857143,7.850627138,0.214285714,25.85714286,195.7142857,7.569060773,2.285714286
Ronald Jones II,20.7,14.775,90.475,6.123519459,0.975,0.8,7.55,9.4375,0.075,15.575,98.025,6.293739968,1.05,20.07692308,119.2307692,5.938697318,1.461538462,1.138461538,14.38461538,12.63513514,0.076923077,21.15384615,133.6153846,6.316363636,1.538461538
Amari Cooper,214.7,0.153846154,1.307692308,8.5,0,5.846153846,88.79487179,15.18859649,0.794871795,6,90.1025641,15.01709402,0.794871795,0.368131868,1.642857143,4.462686567,0,8.857142857,123.3571429,13.92741935,1.142857143,9.214285714,125,13.56589147,1.142857143
Robby Anderson,116.9,0.25,0.458333333,1.833333333,0,4.75,72.08333333,15.1754386,0.666666667,5,72.54166667,14.50833333,0.666666667,0.303571429,1.071428571,3.529411765,0,5,67.07142857,13.41428571,0.5,5.285714286,68.14285714,12.89189189,0.5
Kenyan Drake,43.5,5.682926829,36.46341463,6.416309013,0.43902439,1.12195122,13.90243902,12.39130435,0.097560976,6.804878049,50.36585366,7.401433692,0.536585366,5.923076923,31.38461538,5.298701299,0.076923077,2.317073171,21.23076923,9.162753036,0.076923077,8.153846154,52.61538462,6.452830189,0.153846154
Robert Woods,118.3,0.368421053,3.736842105,10.14285714,0,6.631578947,77.10526316,11.62698413,0.842105263,7,80.84210526,11.54887218,0.842105263,0.105263158,5.846153846,55.53846154,0,5.846153846,65.07692308,11.13157895,0.846153846,5.923076923,70.92307692,11.97402597,0.846153846
A.J. Brown,217.1,0,0,0,0,5.558823529,87.76470588,15.78835979,0.558823529,5.558823529,87.76470588,15.78835979,0.558823529,0,0,0,0,7.083333333,110,15.52941176,0.5,7.083333333,110,15.52941176,0.5
Miles Sanders ,218.7,7.666666667,45.80555556,5.974637681,0.333333333,0.888888889,5.361111111,6.03125,0.027777778,8.555555556,51.16666667,5.980519481,0.361111111,16.92307692,98,5.790909091,0.692307692,1.914529915,10.69230769,5.584821429,0,18.76923077,108.6923077,5.790983607,0.692307692
